holdout_gene,mode,esm_model,n_unfrozen_layers,use_pllr,branch,fusion,pllr_mode,cell_slug,n_prior_features,seed,batch_size,grad_accum,effective_batch,amp,n_finetune,n_inner_val,n_holdout,best_epoch,inner_val_roc_auc,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high,checkpoint
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed42,24,42,1,8,8,True,380,95,208,2,0.972596585804133,156.9,0.0840115222539316,0.957957957957958,0.9266595542911332,0.981981981981982,0.990566924370925,0.9831057309160512,0.996117866067749,0.732636571019096,0.6204404501476519,0.8364788676963361,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed42,24,42,1,8,8,True,277,71,335,1,0.9952380952380953,166.9,0.4389855221807957,0.9089997772332368,0.8720204945422143,0.9416722358357466,0.8619142038588463,0.7996746852925314,0.9196264677508176,0.5419614937470022,0.470681254202747,0.6087073938749428,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed42,24,42,1,8,8,True,450,114,119,7,0.9733124018838304,166.8,0.001000435959625,0.9576031656302996,0.9211418880723572,0.9850197851893724,0.9572051661876472,0.9200782469104644,0.9851950734470812,0.7340006273309286,0.61136779229319,0.8495352081523986,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed42,24,42,1,8,8,True,530,132,21,5,0.9516203703703704,163.3,0.0010000101800921,0.9411764705882352,0.8235294117647058,1.0,0.9877162629757786,0.962464985994398,1.0,0.4609772228646444,0.0,0.8416254115301732,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed43,24,43,1,8,8,True,380,95,208,3,0.8948787061994609,164.8,0.0115071527683303,0.933301722775407,0.8918918918918919,0.9660186502291764,0.984848352825794,0.9753308952770692,0.9924418234138708,0.6227716541476274,0.4850509685886497,0.750902355851994,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed43,24,43,1,8,8,True,277,71,335,2,0.9495238095238095,165.6,0.7923057980404701,0.905435509022054,0.8699014257072845,0.9379603846439444,0.8834520545398011,0.8409613249508833,0.9234905439806944,0.6241749202732452,0.548454318095348,0.7000333158821758,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed43,24,43,1,8,8,True,450,114,119,5,0.9767660910518056,165.3,0.9949883854166488,0.9547767100056528,0.9174674957603166,0.9836065573770492,0.9548162184477474,0.9184748433606928,0.9839006429665867,0.597715977139835,0.4850525115437838,0.7024254034589267,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed43,24,43,1,8,8,True,529,133,21,3,0.9703196347031964,162.7,0.8034370213263073,0.9411764705882352,0.8235294117647058,1.0,0.9872721018231856,0.9627450980392156,1.0,0.5830006053876384,0.1485221314465011,1.0,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed44,24,44,1,8,8,True,380,95,208,6,0.9258760107816713,166.6,0.9539890875857232,0.9186028133396554,0.8664453927611823,0.9617512249091196,0.979139925183534,0.9635328017441404,0.9914212537543116,0.2720316628809138,0.2026597270725387,0.3312930183213549,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed44,24,44,1,8,8,True,277,71,335,5,0.9933333333333334,167.8,0.3024984625040298,0.9040246528551272,0.8673604923145466,0.9362339422291528,0.8636825330289926,0.813205895263882,0.9117158210545824,0.5166559528264262,0.4406576894310153,0.591897111005032,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed44,24,44,1,8,8,True,450,114,119,5,0.9430141287284144,165.0,0.411000196620321,0.9629734313171284,0.9318824194460148,0.9858677218767664,0.9636439916011412,0.935272316785292,0.9859998716493904,0.688882030888509,0.5954105762906599,0.7855007920128876,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_domains_seed44,24,44,1,8,8,True,530,132,21,3,0.9550925925925926,163.4,0.088001993896305,0.9411764705882352,0.8235294117647058,1.0,0.9877162629757786,0.962464985994398,1.0,0.4950737714883372,-0.108465228909328,0.8677218312746247,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed42,5,42,1,8,8,True,380,95,208,2,0.9788858939802336,162.8,0.03382306888327,0.9298245614035088,0.8874624624624624,0.965070333491386,0.9837567088517152,0.9735568812720556,0.9921452274869564,0.5518096546671806,0.4320834117357833,0.6725420703572764,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed42,5,42,1,8,8,True,277,71,335,3,0.9771428571428572,166.1,0.8848968772940133,0.8889693324422662,0.8477370609638375,0.9257263124675132,0.8573902514335318,0.8073433906730663,0.9049831195716233,0.4293281050928553,0.3503106624377285,0.5044232979548987,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed42,5,42,1,8,8,True,450,114,119,3,0.9368916797488226,162.9,0.9934128676220152,0.8569813453928774,0.7857546636517807,0.9166195590729224,0.8695322052210769,0.807616734032746,0.9231206821651036,0.5369606487166533,0.4018207987535327,0.6619806574248206,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed42,5,42,1,8,8,True,530,132,21,5,0.9377314814814816,164.6,0.0040081406383542,0.8676470588235294,0.6470588235294117,1.0,0.9664896954256816,0.9085726902854931,1.0,0.4950737714883372,-0.108465228909328,0.8677218312746247,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed43,5,43,1,8,8,True,380,95,208,3,0.8481581311769991,162.3,0.0005291787250725,0.9201833412359728,0.8745060850324008,0.9571676940097992,0.9817723998350802,0.9711253682606478,0.9903862804729716,0.5025804860053565,0.3994333313237306,0.5996913624799948,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
