arm,model,genes,n,auc_mean,auc_sd,mcc_mean,mcc_sd,pr_auc_mean,pr_auc_sd,brier_mean,brier_sd,ece_mean,ece_sd,auc_ci_low,auc_ci_high
A0,aa_mlp,MLH1+MSH2+MSH6,428,0.5639583146682495,0.03188149220945039,0.10297592088091516,0.029045884588610318,0.7540560035565945,0.021192204544796752,0.3326645546607366,0.022759594548725063,0.32542522870912377,0.0023152393735915255,0.5131954077395638,0.6128451026018655
A0,bilstm,MLH1+MSH2+MSH6,428,0.6083069907259167,0.038303198722969535,0.0950125984442333,0.08848245565486948,0.7968863749112503,0.0163033353650957,0.29999860647067916,0.018580813475833968,0.3117828676666469,0.032390667423461146,0.5510495595753082,0.6625649878298551
A0,bilstm_attn,MLH1+MSH2+MSH6,428,0.662925698662658,0.028623130151441075,0.18044079196112162,0.013414825665343804,0.8299038056974412,0.01376266099327834,0.2627890403954571,0.029631282876029758,0.24009175691225212,0.03160095195528011,0.6111277023787235,0.7126474360001507
A0,cnn,MLH1+MSH2+MSH6,428,0.5115752504822512,0.04353260371818831,0.01832024055159541,0.07294854377304637,0.7194611897982733,0.021923759865395104,0.37398294108908164,0.044773432990721666,0.37213739105933463,0.05073569644430571,0.4593078555557052,0.5639344443682865
A0,transformer,MLH1+MSH2+MSH6,428,0.7131469483927445,0.0073215636361262494,0.2197621630672245,0.05884720733225994,0.8542541965320863,0.0009503977418898348,0.26204202850311625,0.028136399962536973,0.2539960208258625,0.04166514063755632,0.6628977263804476,0.7606071499083501
A1,aa_mlp,MLH1+MSH2+MSH6,428,0.8796574928223865,0.006271489275425744,0.5379148591878243,0.05182476820598963,0.9300364955393743,0.0075313370298205964,0.1626400428054071,0.007742283128850581,0.1918778888573818,0.006285811205967852,0.8427129818896396,0.91165447101433
A1,bilstm,MLH1+MSH2+MSH6,428,0.9088708274760523,0.002483542118154238,0.6561349697595085,0.05805083165682072,0.9275459755446939,0.009277703829784866,0.13592851376404094,0.015395302116472167,0.1660162113016802,0.02495389436397124,0.8676816725589231,0.9436400202849685
A1,bilstm_attn,MLH1+MSH2+MSH6,428,0.9184757916258861,0.006721003850327834,0.6830259548750313,0.04893457267109024,0.9385874809533953,0.011694333836879482,0.12925287740641778,0.02178715721337267,0.16789257939148325,0.054402008420650315,0.8793806373534324,0.9511012064212961
A1,cnn,MLH1+MSH2+MSH6,428,0.8584591725827999,0.03434726263700075,0.5153896829226807,0.14428033099896503,0.9022546791802045,0.022830021708663294,0.22486023829126942,0.022004426364128832,0.2767283470675679,0.02526498743220992,0.8147737371879605,0.896790842747947
A1,gbm,MLH1+MSH2+MSH6,428,0.8440355159072986,0.024945154295682236,0.6554312520395973,0.03087300248462982,0.8879884848215985,0.014029880661286563,0.1097060318258146,0.0025363998142454987,0.10433570466203086,0.005459728067655792,0.7975638663581178,0.88580119831479
A1,mlp,MLH1+MSH2+MSH6,428,0.9184345988888714,0.0035928208540132902,0.6855358517213229,0.046805690443108526,0.9465752974271248,0.000787473207592239,0.12569084873921466,0.01900811086968619,0.15805771070195043,0.008571846003890046,0.8777927279425263,0.9525561346671929
A1,transformer,MLH1+MSH2+MSH6,428,0.8644073216718207,0.0028518010659152513,0.4862846592036923,0.03247577967859814,0.9248783718150374,0.006192240325709699,0.14782541514965397,0.009286190345170338,0.13914828996734419,0.015300829455971417,0.823354218719052,0.8989547531852311
A2,aa_mlp,MLH1+MSH2+MSH6,428,0.8016794027453772,0.0191198169066793,0.39413688956296555,0.014322828517186588,0.904036060134319,0.012420855767655352,0.2060265298845871,0.009707011491600895,0.2040391561804943,0.02573407609096832,0.76176009819561,0.8393712469912543
A2,bilstm,MLH1+MSH2+MSH6,428,0.8961837026696328,0.005364118439296805,0.6088566520424842,0.04867378074873681,0.9523479529005701,0.0017310664677072155,0.12948763722124843,0.0032654517584391305,0.13979755474393166,0.019681249368639374,0.8628943939136471,0.9254870904548502
A2,bilstm_attn,MLH1+MSH2+MSH6,428,0.908856482541709,0.007818960369132835,0.5717835955541758,0.03609172095498745,0.9604418697143077,0.004142333350313654,0.11859213892660336,0.0025282859353467995,0.12585180163934626,0.008180556889492928,0.8779368506719609,0.9356926346290312
A2,cnn,MLH1+MSH2+MSH6,428,0.7199782225133976,0.019966840068397388,0.2698884819160201,0.02618423639082967,0.84328834697543,0.030587655895390968,0.24392661807408889,0.019792385000708967,0.2414988660826035,0.03610694554796633,0.6758006931945684,0.7615099503153301
A2,gbm,MLH1+MSH2+MSH6,428,0.8753919532702992,0.002605896409649872,0.5461050176032821,0.032357307439143175,0.9323454717159677,0.014700334277100633,0.12106423419833114,0.0017524974485520432,0.10789271496281955,0.004883499544925158,0.8352823298466576,0.9103300762067006
A2,mlp,MLH1+MSH2+MSH6,428,0.9173912827192253,0.0,0.6225096251072424,0.02123780592065784,0.9578204205246044,0.0,0.10977657316246436,0.005865878402098607,0.12096471391458852,0.019939507745444493,0.8851728500292171,0.9458029765498318
A2,transformer,MLH1+MSH2+MSH6,428,0.7561508346393814,0.020114175192566995,0.3057368806695072,0.06499802284952914,0.8821022639709791,0.013665626380369403,0.23085696988994361,0.02357798687890619,0.21392788830226003,0.02909062035920771,0.7073664191314867,0.8003286617978462
A3,aa_mlp,MLH1+MSH2+MSH6,428,0.777758946358809,0.01870314836666054,0.3588398530751427,0.06287596183560012,0.8901643208213957,0.019353253386862456,0.2037372654546342,0.001894767537928608,0.18661683526743075,0.037764137600191185,0.7321074819888249,0.821429620226331
A3,bilstm,MLH1+MSH2+MSH6,428,0.7663735015270706,0.035023997664694835,0.28233926912305973,0.01781519513076695,0.8812936410545618,0.018129687913689862,0.20478544358589343,0.014775431236803754,0.18495197294230073,0.013675451368662085,0.7131358473436147,0.8143925027525211
A3,bilstm_attn,MLH1+MSH2+MSH6,428,0.7813299719485376,0.00873128179369883,0.37468450531849523,0.03393062150741017,0.8898427489779123,0.01407836888261595,0.21160753954155798,0.008534323859450185,0.2059814167659707,0.006046504032842454,0.7334094350658209,0.8253597064698834
A3,cnn,MLH1+MSH2+MSH6,428,0.7125632936009567,0.012396312731543548,0.2636745281441491,0.058979070591200125,0.8447205710545584,0.0077983043586290456,0.23527421596703657,0.011833962623773942,0.23652640719631338,0.03123545659442681,0.6623503326976579,0.7606522051500393
A3,gbm,MLH1+MSH2+MSH6,428,0.7625450958584108,0.010348385438076702,0.3920724943314258,0.054023289380402156,0.8555281585846252,0.0083510566824772,0.18161096646585964,0.010276317695791293,0.16159094223172762,0.005947604289242308,0.706922778719843,0.8162610700676405
A3,mlp,MLH1+MSH2+MSH6,428,0.8098329447377148,0.02620201551405807,0.39624189296755824,0.11998730002903935,0.8982650619332495,0.025086416456034655,0.18194331586385717,0.00697381594308767,0.18072128982858993,0.012727515177006496,0.7601031403189179,0.8551953840964622
A3,transformer,MLH1+MSH2+MSH6,428,0.7725258297302737,0.02345752796303337,0.36487833572862577,0.05546686919520909,0.8880731832748014,0.009336035612741213,0.2083327242770718,0.03813270844850437,0.1960370192206572,0.03702088067390995,0.7273443106982517,0.8146808381555686
A4,aa_mlp,MLH1+MSH2+MSH6,428,0.5333165586447158,0.018155062407635102,0.017710963547342872,0.03804754012677647,0.7326737206273434,0.006552861338405777,0.3069290925044898,0.014991712526724502,0.31370215150941166,0.0058345455969836925,0.4813881509390474,0.5859889836850563
A4,bilstm,MLH1+MSH2+MSH6,428,0.48123924273761265,0.028986342312238674,0.06681424505519525,0.0751852991383083,0.734058522259475,0.004901822555151389,0.3314743538920764,0.025495425588196886,0.317064911736092,0.057295631642727836,0.42952033910624865,0.5331910184210609
A4,bilstm_attn,MLH1+MSH2+MSH6,428,0.6082533921758355,0.016970011834067867,0.14958211043262126,0.043901259485852565,0.79873215099308,0.010885139879553023,0.34935759251798726,0.018995458879631628,0.3422888651653994,0.01683315651308355,0.5552301032906646,0.660766470752005
A4,cnn,MLH1+MSH2+MSH6,428,0.5353655305268208,0.052028346056012795,0.019569021311841118,0.048462358221439315,0.7539984459257659,0.030326217656487697,0.3704613649225654,0.020181600712777213,0.39038694030606885,0.02016294954375593,0.48715022115793355,0.5815706853505896
A4,gbm,MLH1+MSH2+MSH6,428,0.3877359614587222,0.010689437536116276,-0.09383061548016636,0.08979005746949278,0.6519576998028017,0.009548042800143767,0.352353280449875,0.005211022256405331,0.3638079455941144,0.019113635530040977,0.3255568985419984,0.45292749148665784
A4,mlp,MLH1+MSH2+MSH6,428,0.4142363487893687,0.011072358290404021,-0.03218321535139012,0.0926613236328266,0.7112580580349978,0.005538046544502173,0.299271943607762,0.013008320295003052,0.29866637207244734,0.029973541520343826,0.35969183331840837,0.47002364491272614
A4,transformer,MLH1+MSH2+MSH6,428,0.6705746839969559,0.012511870467096642,0.18910605743818076,0.027453580102749557,0.8390464872998362,0.009841125096232714,0.28072150213625324,0.011475851230817678,0.2565117984841232,0.017648838599984038,0.6204595365002981,0.7196137573952829
A5,aa_mlp,MLH1+MSH2+MSH6,428,0.9123074790241915,0.021493108495076917,0.5575346797973508,0.042542015097686334,0.9591733425085774,0.00676360505295224,0.16195567352152992,0.027718940800088927,0.2091985369711901,0.04115866120554248,0.8841199389450329,0.9382923058321453
A5,bilstm,MLH1+MSH2+MSH6,428,0.9514858263035167,0.009060263504797668,0.573019517557899,0.06654117907286625,0.9732966029396053,0.0034491534043656594,0.1354209644441597,0.03146523744787241,0.1871554508090433,0.04022139067751645,0.9283318720863297,0.9714215823366908
A5,bilstm_attn,MLH1+MSH2+MSH6,428,0.9524204649826647,0.014163963476266757,0.6143348417310652,0.12883645064647045,0.9726020493498816,0.007126436683674134,0.1331293536599469,0.0010672356728089665,0.19158853772684473,0.012355487739062213,0.9299748430200994,0.971970087043849
A5,cnn,MLH1+MSH2+MSH6,428,0.9251492048871081,0.004581829845807116,0.5451625537211321,0.10591428829306217,0.9574563085421007,0.0033264648316553027,0.19083528727314822,0.07160478879869481,0.23212512158322995,0.10229967575724176,0.8965937347562803,0.9496149142538414
A5,gbm,MLH1+MSH2+MSH6,428,0.9495879722415413,0.012855655771491134,0.7429093436206701,0.023205420652664604,0.9679905487285145,0.012531513729814456,0.07110010179005273,0.00497200280454298,0.07873044308077723,0.0034321487917391962,0.9237618955720658,0.9715630831195458
A5,mlp,MLH1+MSH2+MSH6,428,0.9549056042428554,0.007720713621756747,0.6871597459345186,0.15143784051439246,0.9732004954836322,0.008142287644068881,0.08389659616237531,0.02269250297959917,0.10950154151451541,0.05459156989023331,0.9297102449762474,0.9765739088346004
A5,transformer,MLH1+MSH2+MSH6,428,0.8951490589788462,0.007588927126770637,0.504712320862997,0.09038656802817165,0.9491339253674121,0.0016204578055921013,0.16771078236667813,0.02231414038380068,0.19554323192610942,0.02397879834624931,0.8630741518847961,0.9231255851363246
B1,aa_mlp,MLH1+MSH6,252,0.9069158935322285,0.02971127716604572,0.39670152799183733,0.1813728266171051,0.9701913851841687,0.008343660594528244,0.23076956327563006,0.05040003773287452,0.3047202414920287,0.04337532580165546,0.8721894485087709,0.9368701998748948
B1,bilstm,MLH1+MSH6,252,0.932208148748986,0.010070448273461631,0.39291481833940683,0.10973626342270262,0.9743161858924095,0.0028947122749661365,0.18237381652967036,0.02300653785150022,0.263148399420009,0.040361216871922706,0.8964768400319336,0.962054434041632
