arm,model,seed,min,max
A0,aa_mlp,42,0.38457322120666504,0.9947044253349304
A0,aa_mlp,43,0.00022263872961048037,0.4678756892681122
A0,aa_mlp,44,0.13861045241355896,0.9999107122421265
A0,bilstm,42,0.30588221549987793,0.986718475818634
A0,bilstm,43,0.550381600856781,0.9978018403053284
A0,bilstm,44,0.04991210252046585,0.5731983184814453
A0,bilstm_attn,42,0.20024456083774567,0.8800342679023743
A0,bilstm_attn,43,0.07781491428613663,0.9320480823516846
A0,bilstm_attn,44,0.1390155404806137,0.5261520743370056
A0,cnn,42,0.04600585997104645,0.6944426894187927
A0,cnn,43,0.4110710918903351,0.9995773434638977
A0,cnn,44,0.04224264249205589,0.9584576487541199
A0,transformer,42,0.02270195260643959,0.9926504492759705
A0,transformer,43,0.2167423814535141,0.8380967974662781
A0,transformer,44,0.02843349240720272,0.4741685092449188
A1,aa_mlp,42,0.4847739040851593,0.5670257806777954
A1,aa_mlp,43,0.44824856519699097,0.5109279155731201
A1,aa_mlp,44,0.24112002551555634,0.5683860182762146
A1,bilstm,42,0.1467255800962448,0.5451443195343018
A1,bilstm,43,0.24648354947566986,0.9630574584007263
A1,bilstm,44,0.14356397092342377,0.3797633647918701
A1,bilstm_attn,42,0.35198503732681274,0.8137505650520325
A1,bilstm_attn,43,0.17359648644924164,0.8274945616722107
A1,bilstm_attn,44,0.009840504266321659,0.5609120726585388
A1,cnn,42,0.004972393624484539,0.5997577905654907
A1,cnn,43,0.4684004485607147,0.5411010980606079
A1,cnn,44,0.01757540926337242,0.7455060482025146
A1,gbm,42,0.4701901972293854,0.9084247946739197
A1,gbm,43,0.11111777275800705,0.8778641223907471
A1,gbm,44,0.04391069337725639,0.930647075176239
A1,mlp,42,0.2928488552570343,0.4715581238269806
A1,mlp,43,0.23130916059017181,0.38971611857414246
A1,mlp,44,0.21880830824375153,0.5450038909912109
A1,transformer,42,0.06513185799121857,0.7259199619293213
A1,transformer,43,0.352354496717453,0.9888851642608643
A1,transformer,44,0.21339945495128632,0.3635691702365875
A2,aa_mlp,42,0.41225939989089966,0.5407979488372803
A2,aa_mlp,43,0.44377022981643677,0.4887666404247284
A2,aa_mlp,44,0.17897608876228333,0.47730332612991333
A2,bilstm,42,0.26728102564811707,0.7033791542053223
A2,bilstm,43,0.3854135572910309,0.9894641637802124
A2,bilstm,44,0.39351508021354675,0.5601443648338318
A2,bilstm_attn,42,0.18418726325035095,0.6241338849067688
A2,bilstm_attn,43,0.0998874232172966,0.5119948983192444
A2,bilstm_attn,44,0.35161733627319336,0.954498291015625
A2,cnn,42,0.08541037142276764,0.7460200190544128
A2,cnn,43,0.21771974861621857,0.5657012462615967
A2,cnn,44,0.42825111746788025,0.9080488681793213
A2,gbm,42,0.7761332392692566,0.9332588315010071
A2,gbm,43,0.12685616314411163,0.8517822623252869
A2,gbm,44,0.08748423308134079,0.8560526371002197
A2,mlp,42,0.17001883685588837,0.8342016339302063
A2,mlp,43,0.2282518595457077,0.7981439828872681
A2,mlp,44,0.14662820100784302,0.6663437485694885
A2,transformer,42,0.03987203910946846,0.9253448247909546
A2,transformer,43,0.4242617189884186,0.9984319806098938
A2,transformer,44,0.002810650272294879,0.8957560062408447
A3,aa_mlp,42,0.42130401730537415,0.5377771258354187
A3,aa_mlp,43,0.41359201073646545,0.6392918825149536
A3,aa_mlp,44,0.44210290908813477,0.6417716145515442
A3,bilstm,42,0.2549309730529785,0.8817248940467834
A3,bilstm,43,0.2075612097978592,0.6162527799606323
A3,bilstm,44,0.12609149515628815,0.9708677530288696
A3,bilstm_attn,42,0.23747390508651733,0.8259180784225464
A3,bilstm_attn,43,0.2156674861907959,0.9122785329818726
A3,bilstm_attn,44,0.2774300277233124,0.6503893136978149
A3,cnn,42,0.10274853557348251,0.9919054508209229
A3,cnn,43,0.4047740697860718,0.9985814094543457
A3,cnn,44,0.09620005637407303,0.9775502681732178
A3,gbm,42,0.11306830495595932,0.7363835573196411
A3,gbm,43,0.37695977091789246,0.7857450842857361
A3,gbm,44,0.012991121970117092,0.5727501511573792
A3,mlp,42,0.2106751650571823,0.7291390895843506
A3,mlp,43,0.10745681822299957,0.6103420257568359
A3,mlp,44,0.36970025300979614,0.8003044724464417
A3,transformer,42,0.3096631169319153,0.798019289970398
A3,transformer,43,0.12486844509840012,0.6806387901306152
A3,transformer,44,0.07360896468162537,0.5022319555282593
A4,aa_mlp,42,0.4179905951023102,0.9598773121833801
A4,aa_mlp,43,0.006628642324358225,0.49044713377952576
A4,aa_mlp,44,0.0212269090116024,0.9969878792762756
A4,bilstm,42,0.6087080240249634,0.9928556084632874
A4,bilstm,43,0.570092499256134,0.7447617053985596
A4,bilstm,44,0.33931636810302734,0.9198403358459473
A4,bilstm_attn,42,0.4696519672870636,0.7356780171394348
A4,bilstm_attn,43,0.28918129205703735,0.8041964173316956
A4,bilstm_attn,44,0.01884150691330433,0.5041044354438782
A4,cnn,42,0.034407440572977066,0.47205883264541626
A4,cnn,43,0.2558814585208893,0.5610103607177734
A4,cnn,44,0.41898635029792786,0.8598895072937012
