gene,arm,model,n,n_benign,scoreable,seeds,auc,auc_reference,delta,ci_low,ci_high,ci_excludes_zero,source
mean:MLH1+MSH2+MSH6,feature:zeroshot_esm1b_P0_masked_marginal,none,428,118,True,1,0.9001,0.9623,-0.0622,-0.0956,-0.0308,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
mean:MLH1+MSH2+MSH6,feature:zeroshot_esm1b_P0_wt_marginal,none,428,118,True,1,0.8898,0.9623,-0.0726,-0.1084,-0.0377,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
mean:MLH1+MSH2+MSH6,feature:zeroshot_esm2_650m_P0_masked_marginal,none,428,118,True,1,0.895,0.9623,-0.0673,-0.103,-0.0348,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
mean:MLH1+MSH2+MSH6,feature:zeroshot_esm2_650m_P0_wt_marginal,none,428,118,True,1,0.8654,0.9623,-0.0969,-0.1393,-0.0575,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MLH1,feature:zeroshot_esm1b_P0_masked_marginal,none,174,31,True,1,0.8631,0.9737,-0.1106,-0.1817,-0.0499,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MLH1,feature:zeroshot_esm1b_P0_wt_marginal,none,174,31,True,1,0.8371,0.9737,-0.1366,-0.2171,-0.0657,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MLH1,feature:zeroshot_esm2_650m_P0_masked_marginal,none,174,31,True,1,0.8371,0.9737,-0.1366,-0.2216,-0.0634,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MLH1,feature:zeroshot_esm2_650m_P0_wt_marginal,none,174,31,True,1,0.7746,0.9737,-0.199,-0.3039,-0.103,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MSH2,feature:zeroshot_esm1b_P0_masked_marginal,none,176,56,True,1,0.875,0.9499,-0.0749,-0.1268,-0.0291,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MSH2,feature:zeroshot_esm1b_P0_wt_marginal,none,176,56,True,1,0.8699,0.9499,-0.08,-0.1336,-0.0312,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MSH2,feature:zeroshot_esm2_650m_P0_masked_marginal,none,176,56,True,1,0.8979,0.9499,-0.052,-0.0935,-0.0165,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MSH2,feature:zeroshot_esm2_650m_P0_wt_marginal,none,176,56,True,1,0.8792,0.9499,-0.0707,-0.117,-0.0307,True,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MSH6,feature:zeroshot_esm1b_P0_masked_marginal,none,78,31,True,1,0.9623,0.9634,-0.0011,-0.0506,0.051,False,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MSH6,feature:zeroshot_esm1b_P0_wt_marginal,none,78,31,True,1,0.9623,0.9634,-0.0011,-0.0499,0.0515,False,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MSH6,feature:zeroshot_esm2_650m_P0_masked_marginal,none,78,31,True,1,0.9499,0.9634,-0.0135,-0.0662,0.0402,False,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
MSH6,feature:zeroshot_esm2_650m_P0_wt_marginal,none,78,31,True,1,0.9423,0.9634,-0.021,-0.0764,0.0335,False,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
PMS2,feature:zeroshot_esm1b_P0_masked_marginal,none,21,4,False,1,1.0,0.9412,0.0588,0.0,0.1926,False,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
PMS2,feature:zeroshot_esm1b_P0_wt_marginal,none,21,4,False,1,0.9265,0.9412,-0.0147,-0.1791,0.1324,False,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
PMS2,feature:zeroshot_esm2_650m_P0_masked_marginal,none,21,4,False,1,1.0,0.9412,0.0588,0.0,0.1926,False,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
PMS2,feature:zeroshot_esm2_650m_P0_wt_marginal,none,21,4,False,1,1.0,0.9412,0.0588,0.0,0.1926,False,runs/dl/main/paired_vs_train-clinvar__drop-domains-genomic-structure_mlp.csv
